tstart	tend	duration	clientip	respcode
2016-07-08 20:52:39	2016-07-08 20:52:39	271	10.185.232.22	500
2016-07-08 02:32:36	2016-07-08 02:32:36	289	10.185.232.22	500
2016-07-08 17:49:50	2016-07-08 17:49:50	288	10.185.232.22	500
2016-07-08 11:41:15	2016-07-08 11:41:15	290	10.185.232.22	500
2016-07-08 23:55:49	2016-07-08 23:55:49	260	10.185.232.22	500
2016-07-08 20:52:08	2016-07-08 20:52:08	287	10.185.232.22	500
2016-07-08 05:35:26	2016-07-08 05:35:26	291	10.185.232.22	500
2016-07-08 11:41:00	2016-07-08 11:41:00	284	10.185.232.22	500
2016-07-08 02:34:37	2016-07-08 02:34:37	249	10.185.232.22	500
2016-07-08 11:41:17	2016-07-08 11:41:17	275	10.185.232.22	500
2016-07-08 11:40:53	2016-07-08 11:40:53	278	10.185.232.22	500
2016-07-08 11:43:43	2016-07-08 11:43:43	261	10.185.232.22	500
2016-07-08 11:42:57	2016-07-08 11:42:57	301	10.185.232.22	500
2016-07-08 20:51:37	2016-07-08 20:51:37	285	10.185.232.22	500
2016-07-08 08:38:22	2016-07-08 08:38:22	542	10.185.232.22	500
2016-07-08 17:49:43	2016-07-08 17:49:43	285	10.185.232.22	500
2016-07-08 08:39:40	2016-07-08 08:39:40	301	10.185.232.22	500
2016-07-08 17:48:20	2016-07-08 17:48:20	256	10.185.232.22	500
2016-07-08 02:33:53	2016-07-08 02:33:53	247	10.185.232.22	500
2016-07-08 17:47:43	2016-07-08 17:47:43	312	10.185.232.22	500
2016-07-08 23:53:31	2016-07-08 23:53:31	327	10.185.232.22	500
